21:32:42:324 [ALWAYS]	GUDE Logging Started
21:32:42:325 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:32:42:325 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:32:42:325 [ERROR]	Initialize resume cache pointer failure
21:32:42:325 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
21:32:42:325 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:32:46:104 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
21:32:46:104 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
21:32:46:104 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
21:32:46:104 [ERROR]	Initialize resume cache pointer failure
21:32:46:104 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
21:32:46:104 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
21:32:46:153 [WARN]	Request Failed. ErrorCode: 112007 errorMessage: Platform Status, Send Request Failed. WinHTTP Name Not Resolved. last error code = 12007 
